period_id,period_label,analysis_date,feed_name,total_midday_trips,n_route_direction_midday
P1,2025-08-04_to_2025-08-25,2025-08-04,CTA_0711,3759,216
P1,2025-08-04_to_2025-08-25,2025-08-05,CTA_0711,3759,216
P1,2025-08-04_to_2025-08-25,2025-08-06,CTA_0711,3759,216
P1,2025-08-04_to_2025-08-25,2025-08-07,CTA_0711,3759,216
P1,2025-08-04_to_2025-08-25,2025-08-08,CTA_0711,3759,216
P1,2025-08-04_to_2025-08-25,2025-08-11,CTA_0711,3759,216
P1,2025-08-04_to_2025-08-25,2025-08-12,CTA_0814,3759,216
P1,2025-08-04_to_2025-08-25,2025-08-13,CTA_0814,3759,216
P1,2025-08-04_to_2025-08-25,2025-08-14,CTA_0814,3759,216
P1,2025-08-04_to_2025-08-25,2025-08-15,CTA_0814,3759,216
P1,2025-08-04_to_2025-08-25,2025-08-18,CTA_0814,3825,220
P1,2025-08-04_to_2025-08-25,2025-08-19,CTA_0814,3823,220
P1,2025-08-04_to_2025-08-25,2025-08-20,CTA_0814,3827,220
P1,2025-08-04_to_2025-08-25,2025-08-21,CTA_0814,3826,220
P1,2025-08-04_to_2025-08-25,2025-08-22,CTA_0814,3826,220
P1,2025-08-04_to_2025-08-25,2025-08-25,CTA_0814,3825,220
P2,2025-08-25_to_2025-09-08,2025-08-25,CTA_0814,3825,220
P2,2025-08-25_to_2025-09-08,2025-08-26,CTA_0814,3823,220
P2,2025-08-25_to_2025-09-08,2025-08-27,CTA_0814,3827,220
P2,2025-08-25_to_2025-09-08,2025-08-28,CTA_0814,3826,220
P2,2025-08-25_to_2025-09-08,2025-08-29,CTA_0814,3826,220
P2,2025-08-25_to_2025-09-08,2025-09-03,CTA_0814,3787,216
P2,2025-08-25_to_2025-09-08,2025-09-04,CTA_0814,3786,216
P2,2025-08-25_to_2025-09-08,2025-09-05,CTA_0814,3786,216
P2,2025-08-25_to_2025-09-08,2025-09-08,CTA_0814,3785,216
P3,2025-09-08_to_2025-09-29,2025-09-08,CTA_0814,3785,216
P3,2025-09-08_to_2025-09-29,2025-09-09,CTA_0814,3783,216
P3,2025-09-08_to_2025-09-29,2025-09-10,CTA_0814,3787,216
P3,2025-09-08_to_2025-09-29,2025-09-11,CTA_0814,3786,216
P3,2025-09-08_to_2025-09-29,2025-09-12,CTA_0814,3786,216
P3,2025-09-08_to_2025-09-29,2025-09-15,CTA_0814,3785,216
P3,2025-09-08_to_2025-09-29,2025-09-16,CTA_0814,3783,216
P3,2025-09-08_to_2025-09-29,2025-09-17,CTA_0814,3787,216
P3,2025-09-08_to_2025-09-29,2025-09-18,CTA_0814,3786,216
P3,2025-09-08_to_2025-09-29,2025-09-19,CTA_0814,3786,216
P3,2025-09-08_to_2025-09-29,2025-09-22,CTA_0814,3785,216
P3,2025-09-08_to_2025-09-29,2025-09-23,CTA_0814,3783,216
P3,2025-09-08_to_2025-09-29,2025-09-24,CTA_0814,3787,216
P3,2025-09-08_to_2025-09-29,2025-09-25,CTA_0814,3786,216
P3,2025-09-08_to_2025-09-29,2025-09-26,CTA_0814,3786,216
P3,2025-09-08_to_2025-09-29,2025-09-29,CTA_0814,3785,216
